,processor,amount,original_currency,target_currency,fx,transaction_status,transaction_cost,transaction_start_date,transaction_end_date,duration,transaction_revenue,pyr_id,pye_id,ppid,country,payee_satisfaction,payor_satisfaction,overall_satisfaction
15,1,2203.01,978,840,1,1,31.47,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,1,284579414593,288891290433,280284578627,276,1,1,1
16,3,3441.28,986,156,1,1,6.0,2019-03-03T00:00:00Z,2019-04-15T12:00:00Z,43,1,288874512963,288891290433,288891224643,356,1,0,1
17,2,4287.4,156,156,0,0,52.8,2019-03-03T12:00:00Z,2019-04-13T12:00:00Z,41,0,280284512834,280284513090,280301355843,356,0,1,1
18,1,4049.12,484,986,1,0,19.55,2019-03-06T01:00:00Z,2019-04-15T12:00:00Z,40,1,284579414850,280301224515,284596257603,410,0,1,1
19,3,429.54,840,156,1,1,79.89,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,1,284579480129,280301224257,288857604674,250,0,0,0
20,1,212.11,986,484,1,1,68.84,2019-03-06T01:00:00Z,2019-03-12T12:00:00Z,6,1,288891290178,288891159106,288891224897,356,1,1,1
21,1,1431.35,978,840,1,1,38.87,2019-03-02T19:00:00Z,2019-03-12T12:00:00Z,10,1,288857604419,280267801410,280267669825,76,1,1,1
22,1,2467.26,986,978,1,1,53.12,2019-03-02T19:00:00Z,2019-03-14T12:00:00Z,12,0,288857604417,280301355841,284579545922,156,1,1,1
23,1,106.38,484,410,1,1,1.53,2019-03-03T00:00:00Z,2019-03-14T12:00:00Z,11,1,288874512961,288891159107,284562637379,156,1,1,1
24,3,4711.36,156,484,1,1,78.72,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,0,288891224641,280267801410,288857670465,250,0,0,0
25,2,2918.6,156,986,1,1,17.39,2019-03-07T15:00:00Z,2019-03-13T12:00:00Z,6,1,288891224387,284579480130,280284578627,76,1,1,0
26,3,825.32,484,156,1,1,69.51,2019-03-03T12:00:00Z,2019-04-15T12:00:00Z,43,1,284562637633,284562702657,280267800899,250,0,0,0
27,2,1296.18,410,484,1,1,66.27,2019-03-02T19:00:00Z,2019-03-14T12:00:00Z,12,1,284596192066,284579414338,280301289795,840,0,0,0
28,3,4370.29,840,986,1,1,47.79,2019-03-07T15:00:00Z,2019-03-10T12:00:00Z,3,1,280284447041,288874447681,288891159105,356,1,1,1
29,1,3566.55,978,156,1,0,93.86,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,9,0,284562703171,280267670083,280301290049,76,0,1,0
30,3,2874.77,156,356,1,1,49.69,2019-03-07T15:00:00Z,2019-03-14T12:00:00Z,7,0,284579545665,280267670338,284562637633,840,1,1,1
31,1,708.74,840,410,1,1,11.51,2019-03-03T12:00:00Z,2019-03-13T12:00:00Z,10,0,284596322882,280267735873,280301289795,156,1,1,1
32,1,1672.07,410,978,1,1,7.4,2019-03-02T19:00:00Z,2019-03-10T12:00:00Z,8,1,288891224897,284596191554,280301289795,156,1,1,1
33,1,1162.19,840,840,0,1,85.66,2019-03-06T01:00:00Z,2019-04-15T12:00:00Z,40,1,280267670081,280284513090,280284578627,356,0,1,1
34,3,2712.2,410,410,0,1,57.37,2019-03-06T01:00:00Z,2019-04-11T12:00:00Z,36,0,288891224641,280284447041,280267801153,250,0,1,1
35,2,3076.28,410,840,1,1,3.74,2019-03-06T01:00:00Z,2019-03-11T12:00:00Z,5,1,284596257347,288857669954,280284512578,356,1,1,1
36,3,2353.75,978,156,1,0,40.43,2019-03-03T12:00:00Z,2019-03-15T12:00:00Z,12,1,284579414850,288891159106,288891224643,250,0,1,1
37,3,4843.02,840,410,1,1,84.45,2019-03-03T12:00:00Z,2019-04-12T12:00:00Z,40,1,280301355586,284562702659,288874447171,76,0,0,1
38,1,1549.1,356,986,1,1,44.93,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,9,0,288874381891,280301355330,284596322627,156,1,0,1
39,1,1067.53,410,986,1,1,67.39,2019-03-07T15:00:00Z,2019-03-12T12:00:00Z,5,1,280267670081,284596191810,280301289794,76,1,1,1
40,3,397.97,410,840,1,1,34.24,2019-03-06T01:00:00Z,2019-03-11T12:00:00Z,5,1,280301355586,288857604675,284596322627,356,1,1,1
41,1,3815.6,978,840,1,1,82.83,2019-03-03T12:00:00Z,2019-03-13T12:00:00Z,10,1,284579545667,288874381635,280284578627,156,0,1,1
42,3,2637.48,156,156,0,1,56.91,2019-03-03T12:00:00Z,2019-03-14T12:00:00Z,11,1,288891224641,288874381635,288891159105,76,1,1,1
43,1,4351.1,356,840,1,1,51.88,2019-03-07T15:00:00Z,2019-03-14T12:00:00Z,7,1,288891224387,280267735361,280284447298,250,1,1,0
44,2,3523.5,978,978,0,1,47.74,2019-03-02T19:00:00Z,2019-03-12T12:00:00Z,10,0,284596192066,280284513090,284596322625,156,1,1,1
45,1,2362.81,986,978,1,1,63.46,2019-03-03T12:00:00Z,2019-03-13T12:00:00Z,10,0,288891224641,288874447170,288891224897,356,1,0,0
46,1,4806.53,978,840,1,0,60.27,2019-03-03T12:00:00Z,2019-03-13T12:00:00Z,10,1,284562702657,280284578625,288857604674,76,0,0,1
47,1,4197.1,978,484,1,0,29.46,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,1,284579545665,284562637635,280301290051,356,0,1,1
48,2,1830.14,986,986,0,1,28.57,2019-03-03T12:00:00Z,2019-03-15T12:00:00Z,12,1,288891224897,280284447554,288857735747,156,1,1,1
49,2,443.21,978,356,1,1,75.59,2019-03-06T01:00:00Z,2019-03-10T12:00:00Z,4,0,288891224641,288891158849,284579545922,276,0,1,1
50,1,3339.28,840,978,1,1,6.76,2019-03-03T00:00:00Z,2019-04-12T12:00:00Z,40,1,280284447042,284596257091,280267735363,840,1,1,1
51,3,2767.24,156,410,1,1,86.35,2019-03-03T00:00:00Z,2019-03-15T12:00:00Z,12,0,284596322626,280267735361,284596322627,276,0,1,0
52,3,2510.72,978,356,1,1,7.08,2019-03-07T15:00:00Z,2019-03-10T12:00:00Z,3,0,284596257602,280267670082,288874447426,250,1,1,1
53,2,1690.59,156,986,1,1,92.4,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,1,288874381634,288857604675,280267735363,410,0,0,1
54,2,4506.8,356,484,1,1,78.04,2019-03-03T12:00:00Z,2019-03-15T12:00:00Z,12,0,288874382146,284562637121,284579480129,156,0,1,0
55,2,3097.72,986,484,1,1,61.74,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,9,1,280267801154,288857670211,280267670337,840,1,1,1
56,1,3041.16,978,840,1,1,18.0,2019-03-03T00:00:00Z,2019-04-10T12:00:00Z,38,1,284562703171,280267801410,284596191554,840,1,1,1
57,3,1479.04,978,156,1,1,77.27,2019-03-02T19:00:00Z,2019-04-10T12:00:00Z,39,1,284579480131,284579480130,288874447426,840,0,1,1
58,2,1321.94,356,986,1,1,36.55,2019-03-03T00:00:00Z,2019-04-11T12:00:00Z,39,1,288857604930,284579480130,284596322627,840,1,1,1
59,3,111.5,156,410,1,1,81.92,2019-03-02T19:00:00Z,2019-03-13T12:00:00Z,11,1,284579545667,284579479873,288891224386,276,0,1,1
60,1,3086.03,356,978,1,1,1.75,2019-03-06T01:00:00Z,2019-03-15T12:00:00Z,9,1,280301355841,280284578370,284579480129,250,1,1,1
61,3,2726.74,978,978,0,1,98.55,2019-03-07T15:00:00Z,2019-03-15T12:00:00Z,8,0,284579480129,288857604419,280267670337,356,0,1,0
62,1,662.25,840,484,1,0,45.51,2019-03-03T12:00:00Z,2019-03-11T12:00:00Z,8,1,280267800899,284579414593,284596322627,156,0,0,1
63,1,1188.12,840,840,0,1,31.6,2019-03-03T00:00:00Z,2019-03-11T12:00:00Z,8,0,288857735490,284579414850,284579545922,410,1,1,0
64,2,1011.33,986,356,1,1,52.86,2019-03-06T01:00:00Z,2019-03-10T12:00:00Z,4,1,280267670081,280301224771,288874447426,250,1,0,1
65,2,955.07,356,986,1,1,69.9,2019-03-07T15:00:00Z,2019-04-10T12:00:00Z,34,1,280267801154,288891159362,288857604674,356,0,1,0
66,2,3896.21,986,840,1,1,67.29,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,280267670081,280267800899,288874447171,356,1,0,0
67,3,4045.05,986,156,1,1,40.89,2019-03-03T00:00:00Z,2019-03-13T12:00:00Z,10,1,288857735490,284579414339,288874447170,76,1,1,1
68,3,2455.19,410,410,0,0,65.34,2019-03-06T01:00:00Z,2019-04-15T12:00:00Z,40,0,280284578371,288891224897,288874447426,484,0,0,0
69,1,2264.96,986,410,1,1,44.37,2019-03-03T12:00:00Z,2019-03-15T12:00:00Z,12,1,280301355585,288874447682,280301290049,156,1,0,0
70,2,1929.23,156,410,1,1,57.05,2019-03-02T19:00:00Z,2019-03-11T12:00:00Z,9,1,284562703171,284596257602,288891159105,356,1,1,1
71,3,1594.55,410,840,1,1,7.08,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,288874447681,284579414850,284579545922,484,1,1,1
72,2,1326.92,156,156,0,1,96.06,2019-03-03T00:00:00Z,2019-03-14T12:00:00Z,11,0,280284447298,288874447681,288874447426,250,0,1,0
73,3,2161.64,986,410,1,1,82.6,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,1,284579545667,288857604675,284579480130,76,0,1,0
74,3,2298.01,978,484,1,1,93.12,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,284579545410,280284447041,280284578625,276,0,1,1
75,3,368.04,356,840,1,1,48.84,2019-03-07T15:00:00Z,2019-04-10T12:00:00Z,34,0,288874512961,284579480130,280267735363,840,0,1,0
76,3,1688.26,410,978,1,1,23.51,2019-03-02T19:00:00Z,2019-03-12T12:00:00Z,10,0,288874381891,284596322882,288874447683,410,1,1,1
77,3,1180.89,356,484,1,1,45.28,2019-03-06T01:00:00Z,2019-03-12T12:00:00Z,6,1,288874447681,280267735361,288874447426,410,1,1,1
78,2,291.75,978,840,1,0,70.33,2019-03-03T00:00:00Z,2019-03-13T12:00:00Z,10,1,280284447555,284562768450,284579480130,76,0,1,1
79,2,488.99,410,986,1,1,61.65,2019-03-06T01:00:00Z,2019-03-12T12:00:00Z,6,1,284579480131,280301289794,288891224643,76,1,1,1
80,1,3782.88,410,356,1,1,78.71,2019-03-02T19:00:00Z,2019-03-12T12:00:00Z,10,1,280284447555,280284513089,280301224770,276,0,1,1
81,2,3646.17,840,156,1,1,8.14,2019-03-02T19:00:00Z,2019-03-12T12:00:00Z,10,1,288891224897,280284578625,280284512578,356,1,0,1
82,3,911.56,978,484,1,0,71.0,2019-03-03T00:00:00Z,2019-04-15T12:00:00Z,43,1,288857604931,288891159105,288874447171,250,0,1,1
83,2,4988.31,840,410,1,0,9.31,2019-03-07T15:00:00Z,2019-03-11T12:00:00Z,4,0,280284512834,284562637121,280301289795,76,1,0,0
84,2,4158.98,410,156,1,1,83.47,2019-03-02T19:00:00Z,2019-03-13T12:00:00Z,11,1,288857604930,288857604418,280267801411,76,0,0,0
85,1,1805.55,986,410,1,0,77.56,2019-03-06T01:00:00Z,2019-04-12T12:00:00Z,37,1,284579480129,284562768450,280267801411,156,0,0,0
86,1,2396.51,978,410,1,1,37.07,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,288891224641,288874512963,284579545922,156,1,1,1
87,2,3944.95,410,986,1,1,96.8,2019-03-03T00:00:00Z,2019-04-13T12:00:00Z,41,1,280284447555,288874447171,288874447426,276,0,1,0
88,3,3182.65,356,410,1,1,48.34,2019-03-06T01:00:00Z,2019-04-13T12:00:00Z,38,1,280284447042,280284447297,280301289794,410,0,1,0
89,2,3070.28,484,986,1,1,83.89,2019-03-07T15:00:00Z,2019-04-10T12:00:00Z,34,0,288874381634,288891159105,284562637379,840,0,1,0
90,1,2966.93,156,986,1,0,19.93,2019-03-03T12:00:00Z,2019-03-14T12:00:00Z,11,1,280301224769,280284578625,288857604929,484,0,0,0
91,2,2193.63,986,156,1,1,94.28,2019-03-02T19:00:00Z,2019-03-14T12:00:00Z,12,1,280284512833,284596191554,288857604929,410,0,0,1
92,1,4753.01,484,986,1,1,53.94,2019-03-06T01:00:00Z,2019-04-13T12:00:00Z,38,1,280284513089,284596323137,288891159105,156,0,0,1
93,2,3203.87,156,978,1,1,74.81,2019-03-02T19:00:00Z,2019-03-14T12:00:00Z,12,0,280301355586,288891159107,280301290051,356,0,0,0
94,1,1640.86,156,484,1,1,63.32,2019-03-02T19:00:00Z,2019-03-11T12:00:00Z,9,1,288857604417,280301224259,280284447298,250,1,1,1
95,3,3581.59,356,156,1,1,18.34,2019-03-02T19:00:00Z,2019-03-13T12:00:00Z,11,1,284596192067,284579414338,284562702914,840,1,1,1
96,1,2258.71,840,156,1,1,27.23,2019-03-06T01:00:00Z,2019-03-15T12:00:00Z,9,1,284562768707,280284447041,280267801153,410,1,0,1
97,1,855.53,156,986,1,1,34.68,2019-03-02T19:00:00Z,2019-03-14T12:00:00Z,12,1,280284578114,284596323137,280284447297,356,1,0,1
98,2,3176.12,156,156,0,0,90.17,2019-03-03T00:00:00Z,2019-03-13T12:00:00Z,10,0,280267801154,280267670082,280301290049,276,0,0,0
99,2,853.75,840,978,1,0,71.61,2019-03-03T00:00:00Z,2019-03-13T12:00:00Z,10,1,284596192066,284562702657,280284578627,410,0,1,1
100,2,929.54,978,356,1,1,68.73,2019-03-02T19:00:00Z,2019-03-12T12:00:00Z,10,1,284596257601,284562637121,280284447297,250,1,1,1
101,2,4910.82,156,986,1,1,42.94,2019-03-07T15:00:00Z,2019-03-11T12:00:00Z,4,0,284562637378,280284513090,280301224771,356,1,1,1
102,2,2131.22,484,356,1,1,2.22,2019-03-07T15:00:00Z,2019-03-14T12:00:00Z,7,1,288857669954,280267669826,284596191554,840,1,1,1
103,3,1998.17,986,986,0,1,27.58,2019-03-03T00:00:00Z,2019-03-14T12:00:00Z,11,0,284596192066,284596322882,288874447683,156,1,1,0
104,3,100.92,840,986,1,1,48.63,2019-03-06T01:00:00Z,2019-03-10T12:00:00Z,4,0,284579414595,288891159363,280301355842,76,1,1,1
105,3,4814.07,156,986,1,0,71.87,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,280284512577,284596191554,284562702914,156,0,1,1
106,2,232.01,410,484,1,1,65.56,2019-03-03T00:00:00Z,2019-04-11T12:00:00Z,39,0,288874381891,284596191811,280284447043,276,0,1,1
107,1,1078.57,156,410,1,1,42.52,2019-03-03T00:00:00Z,2019-04-10T12:00:00Z,38,1,280301355330,280267801153,280284578625,840,0,1,1
108,1,3133.28,484,484,0,1,94.54,2019-03-07T15:00:00Z,2019-03-12T12:00:00Z,5,0,280284447299,280267669826,284579480129,840,0,1,0
109,1,1772.93,484,840,1,1,81.65,2019-03-03T12:00:00Z,2019-03-14T12:00:00Z,11,1,280284512577,284562637634,288874447426,484,0,0,0
110,3,962.37,840,986,1,1,58.13,2019-03-07T15:00:00Z,2019-03-12T12:00:00Z,5,0,280267800897,288891159363,288857604674,840,1,0,1
111,2,2879.97,978,356,1,1,85.69,2019-03-07T15:00:00Z,2019-03-14T12:00:00Z,7,1,280267670081,288857604418,284579545922,276,0,1,1
112,2,3809.83,156,356,1,1,54.29,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,9,1,288891224387,280301289795,284562637379,356,1,1,0
113,1,2443.3,410,978,1,1,46.84,2019-03-07T15:00:00Z,2019-04-13T12:00:00Z,37,0,280301290307,284579414593,280284447043,76,0,1,0
114,2,4982.42,840,410,1,1,30.15,2019-03-03T12:00:00Z,2019-04-10T12:00:00Z,38,1,288874512962,280267801153,288857670209,250,1,0,1
115,2,2211.6,978,986,1,1,86.07,2019-03-07T15:00:00Z,2019-03-13T12:00:00Z,6,1,280301224513,284579414338,288874447683,840,0,1,1
116,2,1787.35,978,410,1,1,49.22,2019-03-03T00:00:00Z,2019-03-15T12:00:00Z,12,0,284579545410,280267800899,280267670337,276,1,1,1
117,3,1804.83,840,356,1,1,90.2,2019-03-02T19:00:00Z,2019-04-11T12:00:00Z,40,1,288891159363,280301289795,280301289794,276,0,0,1
118,3,3778.41,410,978,1,1,32.85,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,1,280284447298,288857604418,280284578625,410,1,1,0
119,2,2918.07,986,978,1,0,10.02,2019-03-03T00:00:00Z,2019-04-14T12:00:00Z,42,1,280301355841,288857670211,280267801411,156,0,1,0
120,2,777.01,840,986,1,1,7.88,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,0,280267670081,288891159105,284596191554,484,1,1,1
121,3,3144.28,410,484,1,1,24.86,2019-03-07T15:00:00Z,2019-04-10T12:00:00Z,34,0,280284447042,280267801153,284562702914,76,1,1,1
122,1,4741.94,978,356,1,1,53.86,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,1,288874447426,280267801410,288857670466,484,1,0,1
123,1,476.08,986,986,0,1,64.35,2019-03-02T19:00:00Z,2019-03-11T12:00:00Z,9,0,284579545410,280267801410,280301290049,484,1,0,0
124,2,986.2,840,978,1,1,59.85,2019-03-07T15:00:00Z,2019-03-12T12:00:00Z,5,1,284562768194,288857669953,280301355843,156,1,1,1
125,3,3260.88,840,356,1,0,40.39,2019-03-07T15:00:00Z,2019-03-12T12:00:00Z,5,1,288891159363,280301224257,284562637633,356,0,1,0
126,3,1283.74,484,356,1,1,99.59,2019-03-06T01:00:00Z,2019-03-12T12:00:00Z,6,1,284562768194,288891224897,280301290051,356,0,0,0
127,1,4312.84,410,410,0,1,94.57,2019-03-02T19:00:00Z,2019-03-15T12:00:00Z,13,0,284596192065,288857670211,280284578625,276,0,1,1
128,2,3148.12,484,356,1,1,25.42,2019-03-07T15:00:00Z,2019-03-15T12:00:00Z,8,1,288857604419,280267800899,288857735747,250,1,1,1
129,3,4283.76,410,840,1,0,65.73,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,280284447298,288857669954,288874382147,484,0,1,0
130,2,2162.73,986,410,1,1,46.0,2019-03-03T12:00:00Z,2019-04-10T12:00:00Z,38,1,288857604419,288891224641,288874447426,156,0,1,0
131,2,2996.03,410,986,1,1,3.38,2019-03-07T15:00:00Z,2019-04-15T12:00:00Z,39,0,280267801153,280284447297,288857735747,840,1,1,1
132,1,499.7,410,840,1,1,13.43,2019-03-06T01:00:00Z,2019-04-15T12:00:00Z,40,1,288891290178,288891159362,280267735363,156,1,0,1
133,2,2658.89,986,840,1,1,85.46,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,0,288874512961,288874512707,288857670466,250,0,0,1
134,1,4813.17,156,356,1,0,94.34,2019-03-03T00:00:00Z,2019-04-13T12:00:00Z,41,1,288874382146,288857670466,288857604929,76,0,0,0
135,3,1289.11,156,978,1,1,67.14,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,288857604931,288857604419,288857670466,76,1,1,1
136,3,4637.54,156,156,0,0,74.08,2019-03-02T19:00:00Z,2019-04-15T12:00:00Z,44,1,288874513219,288874512706,284579545922,840,0,1,1
137,1,2220.0,410,840,1,1,26.73,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,1,280284513089,284562637635,288891224643,840,1,1,1
138,1,4218.27,410,978,1,0,74.58,2019-03-07T15:00:00Z,2019-03-11T12:00:00Z,4,1,288891158850,284596257602,288874447426,356,0,1,1
139,1,3057.12,978,986,1,0,32.31,2019-03-07T15:00:00Z,2019-03-11T12:00:00Z,4,1,284562702657,288891159363,288891224897,356,0,0,0
140,3,279.75,840,410,1,1,63.16,2019-03-03T00:00:00Z,2019-03-14T12:00:00Z,11,1,280301224259,280284578115,280301289795,156,1,1,1
141,2,4370.17,356,484,1,1,77.68,2019-03-07T15:00:00Z,2019-03-11T12:00:00Z,4,1,284596322882,280301224259,280267801153,484,0,1,1
142,2,2419.09,840,356,1,0,41.42,2019-03-07T15:00:00Z,2019-03-10T12:00:00Z,3,1,280267801154,284596191554,284579480130,356,0,1,0
143,3,3392.34,156,978,1,1,6.27,2019-03-03T00:00:00Z,2019-04-12T12:00:00Z,40,0,288874512961,284596191554,280267735363,410,1,0,1
144,2,4416.2,840,410,1,0,70.38,2019-03-06T01:00:00Z,2019-03-12T12:00:00Z,6,0,280284447555,280301289794,288857604929,840,0,0,0
145,3,1420.01,410,484,1,1,58.94,2019-03-07T15:00:00Z,2019-03-14T12:00:00Z,7,1,284596257347,288857670211,284596257603,410,1,1,0
146,3,1241.4,356,986,1,1,75.81,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,280284578371,284562768195,288857670209,484,0,0,0
147,2,2583.2,986,978,1,1,78.47,2019-03-07T15:00:00Z,2019-03-11T12:00:00Z,4,1,284579545667,284562637635,280301289795,410,0,0,0
148,3,819.82,986,978,1,1,69.37,2019-03-03T00:00:00Z,2019-04-15T12:00:00Z,43,1,280284447298,288874512963,288891224897,484,0,0,1
149,3,4896.88,356,156,1,1,80.84,2019-03-03T12:00:00Z,2019-04-13T12:00:00Z,41,1,284562703171,280284513090,288891289921,76,0,1,1
150,3,4230.91,410,410,0,1,41.16,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,0,284579414593,288891159106,280301290051,410,1,1,0
151,2,1872.21,484,978,1,1,73.33,2019-03-03T12:00:00Z,2019-04-11T12:00:00Z,39,1,288891224387,284562637634,284596322627,276,0,0,0
152,2,3225.02,484,840,1,1,85.07,2019-03-02T19:00:00Z,2019-03-12T12:00:00Z,10,0,280284578113,280301355841,288874447426,276,0,0,1
153,2,2862.83,484,356,1,1,32.33,2019-03-03T12:00:00Z,2019-04-15T12:00:00Z,43,1,284579545410,280301289794,288891224386,840,0,1,1
154,1,3099.7,356,840,1,1,27.32,2019-03-02T19:00:00Z,2019-04-13T12:00:00Z,42,1,284562637378,280284447041,280284447298,76,1,0,1
155,3,4701.6,978,356,1,1,78.48,2019-03-07T15:00:00Z,2019-03-15T12:00:00Z,8,0,280301224259,280284447297,288891289921,76,0,1,1
156,2,1712.21,978,840,1,1,8.79,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,1,280284447555,280284447297,280284447043,356,1,1,1
157,2,2374.7,356,986,1,1,38.48,2019-03-07T15:00:00Z,2019-04-10T12:00:00Z,34,1,284596192065,280267670338,280301290049,250,1,1,0
158,3,482.99,484,986,1,1,4.49,2019-03-06T01:00:00Z,2019-04-15T12:00:00Z,40,0,288874447683,288874381635,288857735745,484,1,1,1
159,3,2592.75,840,840,0,1,38.03,2019-03-03T00:00:00Z,2019-04-15T12:00:00Z,43,1,280267800897,284596191810,284579480130,410,0,0,1
160,3,454.54,410,840,1,1,43.23,2019-03-06T01:00:00Z,2019-04-14T12:00:00Z,39,0,288874382146,280284578625,284562637633,250,0,1,0
161,2,144.12,410,484,1,1,16.37,2019-03-02T19:00:00Z,2019-03-15T12:00:00Z,13,1,284579479873,288891224641,288891224897,484,1,0,1
162,2,2373.27,156,156,0,1,28.42,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,9,1,284579414593,284579480130,284596191554,250,1,0,1
163,1,2938.21,978,986,1,0,37.51,2019-03-02T19:00:00Z,2019-03-15T12:00:00Z,13,1,284579480129,280284447297,288874447426,250,0,0,0
164,2,932.41,986,410,1,1,9.04,2019-03-02T19:00:00Z,2019-03-14T12:00:00Z,12,1,284579545667,280267670338,280301355842,76,1,0,1
165,2,1207.87,410,410,0,1,80.69,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,9,1,288891224641,284579414339,288891289921,76,0,0,0
166,3,4003.76,978,484,1,1,13.21,2019-03-03T12:00:00Z,2019-03-10T12:00:00Z,7,0,284579414595,288857670466,288874447170,356,1,1,1
167,2,1461.37,840,356,1,0,36.06,2019-03-07T15:00:00Z,2019-04-11T12:00:00Z,35,1,284579545410,288857604418,280267800899,484,0,1,0
168,3,850.43,410,986,1,1,78.68,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,0,288891224641,284562768450,288874447171,410,0,1,1
169,2,2181.8,484,840,1,1,95.9,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,1,284579414850,284596191554,284596322627,156,0,0,0
170,1,4532.52,986,986,0,1,27.91,2019-03-06T01:00:00Z,2019-03-13T12:00:00Z,7,0,284596192067,288857670211,280267801153,276,1,1,0
171,1,3021.02,484,356,1,0,25.38,2019-03-03T00:00:00Z,2019-04-12T12:00:00Z,40,0,280267801154,280284447041,280267801153,156,0,0,0
172,1,3170.71,978,978,0,1,50.21,2019-03-03T00:00:00Z,2019-03-14T12:00:00Z,11,1,280284447555,280284447297,288857670465,250,1,1,0
173,3,1431.49,986,410,1,1,77.61,2019-03-06T01:00:00Z,2019-03-12T12:00:00Z,6,1,280284512833,284562637122,284579480129,484,0,1,1
174,2,2828.77,986,978,1,1,96.56,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,1,284562703170,288874382145,288857670466,276,0,1,0
175,2,3267.06,986,410,1,1,64.13,2019-03-07T15:00:00Z,2019-03-11T12:00:00Z,4,1,288891158850,284562768450,284579545922,484,1,0,1
176,1,1503.66,986,484,1,1,2.89,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,1,280267670081,288857604418,280284578627,840,1,1,1
